,l,r,des
8,25000,35000,资深算法工程师 (数学方向)任职要求：1） 数学，电子信息，物理，计算机相关专业毕业2） 3年及以上算法研发经验（接收211/985重点院校优秀应届硕士及博士生）3） 良好的数学基础，尤其在线性代数和概率学方面4） 熟练使用matlab或python等工具对算法进行仿真和验证5） 有扎实的c/c++算法实现调试经验6） 熟悉并理解常用的信号处理、图像处理、点云处理算法；7） 熟练阅读英文科技文献8） 有基于图像和视觉技术的定位、识别、测量、检测相关的项目经验的优先9） 熟悉opencv，pcl，eigen等类库优先
19,25000,35000,岗位职责：1、根据业务场景需求，研发人脸检测、跟踪、识别、3d重建或目标检测、分割、识别算法；2、配合平台优化工程师将算法应用至实际平台中，如手机、嵌入式设备等。任职资格：1、本科及以上学历，计算机视觉或机器学习相关专业背景；2、熟练掌握c/c++和matlab/python，熟悉opencv/eigen等常见的视觉/矩阵计算库，具备很强的算法实现能力；3、有人脸检测、跟踪、识别及3d重建、目标检测、分割及识别等方面项目或实际经验；4、熟练掌握常见的深度学习方法及框架（caffe、tensorflow、torch等）者优先；5、有在嵌入式设备上优化视觉算法经验者优先；6、有优秀的英文阅读以及文献检索能力，良好的代码写作习惯。
21,25000,35000,岗位职责：- 负责对新闻资讯和各种文本的nlp算法研究和工程实现-参与推荐系统产品规划、算法设计、系统实现、部署实施；-负责对数据信息进行深度挖掘和有效利用，充分实现数据的商业价值；-跟踪并分析用户行为，为相关业务的发展及产品的设计进行海量数据支持； 任职要求：-计算机或相关专业本科以上学历；5年以上相关工作经验；-具备深厚数据建模（机器学习，数据挖掘，信息检索背景）和分析理论知识及经验；-精通各项数据挖掘技术以及相关机器学习技术(例如：svm/lr/gbdt等)，并能针对不同的业务需求使用不同的算法实现大数据的挖掘工作；-有推荐系统、精准广告、搜索等方面的实际工作经验，有大规模分布式计算平台的使用和并行算法的开发经验优先；-熟练操作linux，熟练使用java/python以及spark/hadoop/hive/hbase/mongodb/kafka等；-善于创新、思维敏捷、精力充沛，沟通能力强，具备较强的团队合作精神并能够承受较大工作压力。
25,25000,35000,"1、2年以上计算机视觉或图形学的研究或开发经验；2、计算机硕士或以上学历，在相关方向有研究经验的硕士或博士优先；3、熟练运用c/c++，matlab，opencv进行编程；4、对图像分割算法,畸变较真算法、图像拼接算法、特征提取、目标检测、目标跟踪、图像识别、模式识别、相机标定等多项或之一有经验者优先；5、负责计算机视觉系统图像处理、分析及识别算法设计、实现及调试；6、对图像进行不良识别，降噪、滤波、摩尔纹消除等处理；7、负责公司针对各特征画面的图像采集及图像处理相关产品的算法设计及实现；8、研究和发明视觉计算各个领域（计算机视觉、图像处理等）的最顶尖的算法；9、参与图像视觉应用软件的设计与实现；"
12,25000,30000,工作职责:岗位职责: 1、参与业务解决方案的设计和编写，撰写相关技术文档。2、算法设计：根据成本核算需求，从物流运输大数据中，挖掘物流运输的经济数据，找出物流运输成本关键数据； 结合业务需求，基于运筹学、机器学习等人工智能技术方法设计路线规划模型与算法，解决快递业务的物流运输规划问题；3、算法实现：利用python、java、matlab等编程语言实现算法模型的搭建，算法代码高效可行；4、算法验证：能够有效验证算法模型的可行性，并不断丰富业务场景，优化算法模型任职资格:1、	本科及以上学历，计算机相关专业；2、	精通python、java、matlab等编程语言；3、	对数据结构和算法设计有深刻的理解，思路活跃，逻辑性强； 4、	熟悉hadoop，hive，spark等大数据技术； 5、	熟悉常用的机器学习算法（贝叶斯，聚类，逻辑回归，svm）；6、	很强的逻辑思维能力、学习能力，对新兴技术或新领域有强烈的兴趣，善于钻研；7、沟通理解和表达能力强，善于主动思考和自我驱动，能够承受高强度工作；
16,25000,30000,工作职责:1. 开发及优化用于视觉标定和定位、三维重建的图像处理算法；2. 构建环境3d精密模型，实现高精度视觉定位；3. 针对不同平台的特点，对算法进行深入优化；任职资格:1. 熟练掌握windows和linux环境下的c/c++编程；2. 掌握视觉slam导航相关理论知识，熟悉视觉slam主流方法；3. 对计算机视觉中的多视几何方法有深入的理解；4. 熟悉adas、三维重建、点云匹配；5. 熟悉ros、opencv、ceres solver、pcl等开源软件；
17,25000,30000,根据应用场景提供ai技术解决方案，完成相关的机器学习项目，包括需求分析、特征工程、模型调优、效果评估，算法分解等，精通机器学习常用算法，有深度学习模型开发经验，如cnn，rnn，lstm等技能要求（至少具备以下三项技能）:1.熟悉java、scala、python、c/c++等一门或多门编程语言。2.熟悉matlab算法建模与仿真3.熟悉数字信号处理原理，有fft，fir设计开发经验4.熟悉无线基带算法，有信道编解码，信道均衡算法开发经验5.熟悉随机过程原理，掌握常见统计分布原理及应用，如伯努利分布，高斯分布，指数分布，瑞利分布6.熟悉视频编码标准（mpeg-4，h264，vp8，vp9，hevc）熟悉dct变换，及熵编码（entropy encoding）（行程码（rle）、lzw编码、香农（shannon）编码、哈夫曼（huffman）编码和算术编码（arithmetic coding））。7.熟悉机器学习基础算法，熟悉一个或多个主流深度学习框架，如tensorflow、caffe等理解并实际使用过cnn、rnn、lstm等基本要求：1.具备 3年以上的基带或视频或ai算法开发经验；2.能够积极主动、高效并独立完成工作内容，具有良好的团队协作能力；3.能够主动承担责任。
20,25000,30000,岗位职责：1、从事机器学习在图像和视频相关领域的研究，包括算法理解、实现，优化等工作；2、积极研究新技术，掌握人工智能技术最新研究成果和发展趋势；3、负责后台系统开发和维护。负责公司机器视觉产品图像算法研究任职要求：1、计算机相关专业硕士及以上学历；2、熟练掌握python、java、c等语言以及常用脚本语言；3、精通数字图像、视频处理基本算法和深度学习框架；4、掌握opencv等图像算法库，熟悉常用深度学习算法；5、熟悉算法优化，具有cuda开发经验者优先；6、对概率统计和机器学习基本原理有扎实理解；7、具备较强的数据分析能力，独立分析问题和解决问题的能力；8、要求创新钻研精神，工作责任心强，态度严谨。
22,25000,30000,"1. 研究深度学习算法和自然语言处理，进行大规模数据的序列模型建模；2. 从系统应用的角度,利用自然语言处理、深度学习的理论和方法解决实际问题；3. 调研分析输入法模型，改进输入法精度 。职责要求：1. 熟练掌握深度学习领域的基础理论和方法，并有一定的相关研究或项目经验 ；2. 熟悉深度学习算法，fpga开发、对当前热点和前沿技术，有完整的、系统的认识；3. 熟悉c/c++语言编程，对数据结构和算法设计有较为深刻的理解 ；4. 优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情；5.对智慧交通系统，人工智能交通信号控制相关技术有经验者优先。您的加入将会为我们带来更多的精彩1.我们希望这样的人加入我们的团队：(1)做事认真严谨、有责任心有担当、有远大梦想、想成功的干一番大事业；(2)有良好的团队精神及团队协作能力；(3)有想法、敢于表达想法，敢于施展十八般武艺；(4)除了学历，也一定要有学习的欲望和能力。(5)渴望通过个人努力推动企业发展的；2.在这里，你将会得到：(1)持续成长的环境和空间；(2)持续提升个人素质和技能；(3)持续展现自我价值和人生梦想。良马有志，期乎千里，？欢迎有志之士的加入。公司地址：深圳市罗湖区笋岗东路1002号宝安广场b座23楼2301室联系电话：？0755-82238555公交站台：儿童公园公交站台，正前方步行100米即到宝安广场田贝(1)公交站台，步行1000米即到地铁站：3号线晒布站c出口/翠竹站d出口，步行10分钟左右即到"
24,25000,30000,1、负责视频图像处理、图像识别、目标检测分析的算法设计、实现、验证；2、分析、设计并实现图像特征表示方法、图像分类算法、图像自动语义挖掘算法，并对上述算法进行评测、分析与改进；3、根据项目需求，负责设计部署深度学习算法数据处理、训练、推理过程的系统架构；4、优化识别引擎、提高识别效率及成功率；5、负责算法核心代码的编码移植；6、为图像识别算法程序编写应用接口集成到应用系统，并与应用开发人员进行联调、测试、维护。岗位要求：1、计算机、自动化工程、图像处理、信息工程等相关专业的本科及以上学历2、具备2年以上图像处理开发经验，对具有利用深度学习进行图像处理相关经验者优先；3、具有海量图片标签、分类和识别的相关经验；4、熟悉各类基本的计算机视觉和图像特征提取算法，有图像跟踪和识别等方面项目经验者优先；5、能独立完成相关算法的设计和编码工作；6、掌握机器学习、深度学习等相关知识，熟悉至少一种深度学习训练工具；熟悉深度学习的常用模型，7、熟悉c/c++编程，有一定数据库基础；8、熟悉图像识别领域的常见工具如opencv、openni、python、9、具备较强的分析问题和解决问题的能力；10、工作认真负责，严谨细致，有良好的创新意识、沟通能力和团队合作精神
26,22000,35000,职位描述：1. 根据公司产品业务需要，设计创新型的内容推荐解决方案，通过技术手段提升用户体验核心指标2. 负责核心推荐算法的创新研究及开发，进行实验评估，并对于算法策略进行持续优化3. 结合业务需求，对用户及内容挖掘和建模，进行相关数据处理和计算的开发，提升个性化推荐的效果4. 跟踪互联网领域相关推荐或者机器学习算法发展趋势，对前沿技术结合产品业务进行实验及落地职位要求：1. 数学或计算机相关专业硕士、博士学位1. 三年以上从业经验，在推荐系统、个性化搜索、广告引擎等相关领域有较强的算法工作经验2. 优秀的逻辑思维能力以及分析和解决问题的能力；具有良好的数据敏感度，能够从海量数据中发现有价值的规律3. 熟练掌握go/java/c++/python等至少一门开发语言，熟悉基本算法和数据结构，具有扎实的编程基本功4. 熟悉常用的机器学习和数据挖掘原理与算法，如分类、聚类、回归、协同过滤、内容过滤等；有大规模机器学习优化项目经验优先；有相关深度学习模型应用经验优先5. 熟悉gcp或aws云平台的大数据处理、机器学习相关服务优先6. 良好的团队合作和分享精神，较强的沟通能力以及抗压能力
27,22000,35000,一、岗位职责：1.负责图像算法研究和开发2.熟悉常用的图像处理方法，如enhance、filter、transform、segment、label等3.熟悉经典的机器学习算法，如pca、lda、lbp、hog、haar、bp、rbf、svm、adaboost、cnn三种或以上二、任职要求：1、计算机、信息处理和模式识别等相关专业硕士及以上学历2、熟悉机器学习或者模式识别领域的相关算法3、熟悉ocr领域的基础理论和方法，了解该领域当前热点和前沿技术4、具有较强的编程能力，熟练使用c/c++5、有deep learning(cnn/dbn等)研发背景，熟悉至少一种deep learning训练工具6、有以下相关项目经历者优先考虑：ocr研发、场景文本检测/分割/识别、模式识别、深度学习和图形图像处理等7、有ml/cv领域的***会议/期刊论文者优先
33,20000,50000,所属部门：   vr创新研究院岗位职责：1、从事图形或图像相关的前沿、先进技术研究，主要研究领域是3d建模、渲染、3d引擎、图像处理、拼接、编解码、传输、理解等技术，可以根据自己擅长选择其中的具体研究领域。2、承担或参与技术攻关课题，负责课题相关研制任务。任职要求：1、博士或硕士学历，科研能力优秀的可以放宽到本科学历。    公司为深圳市博士后科研工作基地，符合入站条件的博士毕业生可以在公司平台做博士后研究，并可享受市里给予的博士后待遇2、具有科研素养和兴趣爱好，具有计算机视觉研究经验。3.   具有科研项目工作经验。4、有熟悉3d游戏引擎或者全景视频、立体视频、视频直播、编解码经验优先；5、有良好的团队合作精神与沟通能力，思路清晰，较强的语言表达和技术方案能力。
40,20000,50000,"岗位职责1.设计物联网系统中的软件算法，包括图像分析与处理，语音分析与处理，文字识别，语义分析等内容。2.物联网系统中大数据分析与数据挖掘，机器学习算法设计，主要包括中小学试题解答与分析，学情统计与分析，行为数据分析等任职资格1.计算机或数学专业 2.有人工智能1年以上从业经验，有3件以上独立完成的产品模块。3.精通python,c++,有ai项目开发经验,能灵活运用开源ai框架和资源； 4.熟练掌握tensorflow，掌握各种深度学习算法并能灵活应用，了解强化学习； 5.精通对应于客户端需求的服务端业务流程设计； 6.熟悉json、tcp/ip/http通信协议及原理；"
59,20000,50000,1.负责京东智能客服工作台相关算法优化，包括文本摘要，文本分类，用户会话结束预测等2.负责对话机器人算法优化，包括用户聊天中意图预测，情绪识别等任职要求：1.熟练掌握java/python，具有扎实的编程功底在机器学习、nlp领域有较强的积累，能熟练运用经典的算法lr、svm、gbdt等2.熟练掌握深度学习算法cnn、lstm、reinforcement learning3.能熟练运用tensorflow、keras、caffe等主流算法框架，有一定深度学习项目经验4.能够快速阅读nlp领域前沿paper，并将论文中思路快速落地5.较强的沟通能力和团队协作能力，对工作有热情，善于学习新知识，参与过对话机器人工作者优先
28,20000,40000,职位描述：1.负责图像/视频处理、识别、目标检测、行为分析等相关算法的设计和实现；2.负责计算机视觉技术在母婴、教育、时尚、电商、新零售等场景的应用落地；3.负责处理十亿级海量照片/视频数据，协调标注人员完成标注，设计部署模型训练；4.对图像识别算法进行集成和封装，并与应用开发人员进行联调，跟进测试和后续维护；5.负责算法优化，提升计算速度并降低能耗，通过大数据反馈，针对实际场景对算法调整迭代；6.跟踪计算机视觉、深度学习等领域的最新研究成果，完成转化和进一步创新。？职位要求：？1.海外名校/985/211院校计算机科学相关专业背景，2年以上研发经验； 2.有较强的机器学习理论基础，熟练使用tensorflow、caffe、mxnet等任意一种深度学习框架； 3.熟练掌握python或java编程语言，熟练使用常用算法和数据结构，对算法有较强的实现能力。 加分项：？1.有高质量论文发表或者视觉相关大型项目落地经验；2.在kaggle/天池等各类比赛中取得了突出成绩。
41,20000,40000,"岗位职责:算法工程师（推荐技术方向）工作职责1，负责推荐位的个性化推荐系统的算法设计与实现，在各个业务场景的落地，提高点击率等业务指标；2.研究数据挖掘或统计学习领域的前沿技术，针对海量用户行为和内容信息建模，挖掘用户的年龄，性别，购物偏好等特征； 3.研究数据挖掘或统计学习领域的前沿技术，从多个维度分析挖掘预测商品的流行度，价格，销量等维度； 4．基于对用户理解和大量数据特征，将用户画像，商品画像挖掘结果应用到推荐，搜索等业务场景提升点击率等业务指标； 5，跟踪推荐领域业界前沿技术，并应用到具体业务场景中去；算法工程师（图像方向）工作职责： 1、负责商品识别深度学习算法和图像处理算法的代码实现； 2、负责将商品图像识别算法应用到个性化推荐排序等业务场景； 任职资格:算法工程师（推荐技术方向）任职资格1.计算机及相关专业本科以上学历，具有超过1年的互联网推荐，搜索，风控，广告等相关领域的工作经验。2. 熟悉机器学习/自然语言处理/数据挖掘/深度学习中至少一个领域的原理与算法，并且能够熟练建模解决业务问题。3.精通linux平台下的python/scala/r/tensoflow/pytorch语言开发。4.具有优秀的分析和解决问题的能力，思路清晰，对工作上的挑战充满激情。5.具有强烈的工作责任感和团队合作精神，能较好的沟通与学习。算法工程师（图像方向） 任职要求： 1、本科或以上学历，一年以上相关工作经验或研究经历；；2、熟练应用keras, tensorflow, pytorch, caffe等深度学习框架； 3、精通python，可以熟练地使用python进行开发； 4、熟练掌握 c/c++ /shell/matlab 编程；5、具备基本的英文技术文档和论文阅读能力；6、熟练掌握opencv ，有物体检测、分类、语义分割、实例分割等深度学习经验优先"
42,20000,40000,"岗位职责：开发视觉语义环境感知系统，包括图像语义分割，目标检测与跟踪，手势识别等任职资格：1. 计算机科学，自动化等相关专业硕士以上学历；2. 掌握深度学习相关理论知识；3. 熟练掌握c,c++，python语言之一；4. 熟练掌握计算机视觉，图像处理基本理论，熟练使用opencv；5. 对无人机系统视觉导航开发和应用具有强烈的热情，具有在任务和时间压力下解决问题的能力。6. 学位论文为深度学习及其应用相关，或在相关领域发表过学术论文，有深度学习系统开发经验优先；7. 熟悉主流深度学习工具，卷积神经网络（cnn）或图像稀疏编码实现方法。"
44,20000,40000,岗位职责：负责计算机视觉相关方向的算法设计与实现；负责计算机视觉相关方向的技术难点攻关与前瞻研究。任职要求：1、拥有博士学历或硕士学历一年以上工作经验、本科学历三年以上工作经验，计算机、自动化或数学等相关专业毕业；2、掌握图像处理、计算机视觉、模式识别等相关领域专业知识，在cvpr等***会议或期刊发表过论文者优先；3、具有较强的编程以及调参能力，获得过计算机方向重大比赛奖励者优先；                                4、具有较强的逻辑思维能力、良好的沟通能力和团队合作精神。
47,20000,40000,岗位职责：1. 从事机器学习/深度学习在自然语言处理、医学影像分析的研究和开发工作；2. 负责深度学习框架的搭建，包括算法实现及系统研发；3. 支持公司相关产品在深度学习领域的研究。任职要求：1. 本科及以上学历，计算机相关专业；2. 熟练使用java/python或者c/c++语言；3. 熟悉常用的机器学习算法，并且有实践经验；4. 善于解决和分析问题，富有想象力和学习能力，良好的团队合作精神；5. 有创造性思维，有推进人工智能的理想和使命感。锦上添花：1. 熟悉hive、hadoop/spark等相关数据平台，有数据挖掘相关经验者；2. 有深度学习相关经验，熟悉常用的深度学习框架（如tensorflow、caffe、theano等）者；3. 扎实的数据机构和算法基本功，有自然语言处理、图像识别等项目经验者；4. 对知识图谱有一定了解。
48,20000,40000,岗位职责：1、计算机视觉、语音识别、文本分析、信号处理等相关算法的设计、开发与调试，并记录全部流程；                     2、前沿人工智能算法的跟踪、实现与优化，并完成技术文档，实现算法规范化管理；                   3、整理项目需求数据，完成数据清理及结构化，按要求归类数据，形成优质的算法测试集，完成算法测试，并以文档形式记录整个流程，实现规范化管理。任职要求：1、硕士及以上学历，计算机、应用数学、物理、统计等相关专业；                                             2、掌握常见的计算机视觉、图像处理、机器学习、信号处理等算法，并能完成代码实现；                       3、具备扎实的编程基础，熟悉常用数据结构与算法；                                                     4、熟练使用python、opencv/opengl/caffe等常用开源库；具有深度学习框架搭建能力者优先；                                                                                          5、具有较强的文献阅读和算法实现者优先，有过目标跟踪/检测等项目经历者优先，具备深度学习项目经验者优先，开源社区参与者和贡献者优先。
49,20000,40000,岗位职责：1、负责海量视频内容分类、人脸识别和跟踪、视频摘要、视频分析特征提取等算法的研究和开发；2、负责在视频分析领域开发高效的深度学习算法。 任职要求1.学历要求：  -毕业于统招硕士及以上学历，计算机相关专业。2.工作经验：  -有相关工作经历或实验室研究背景；  -c++熟练，5年以上开发经验，有windows/linux跨平台开发经验。3.能力要求：  -熟悉视频分析算法、图像分析算法；在图像或视频分析方面有三年以上工作经验；  -能够对能够对视频跟踪（vt）和识别（vr）算法进行工程实现和优化；  -有lr/adaboost/gmm/svm/crf/maxent/hmm/dnn/cnn/rnn的研究背景，熟悉opencv；  -能够流畅阅读英文文献。4.优先考虑：  -能够caffe/tensorflow/torch/theano/keras/mxnet/currennt上开展实验上开展实验者优先；  -熟悉python且有3年以上python实战经验；  -有大数据平台实际搭建和使用经验。
58,20000,40000,"1.负责文本处理相关研发工作, 包括但不限于海量非结构化文本数据，数据挖掘、自然语言nlp处理、信息抽取、智能问答、知识图谱、语义理解、意图识别, 机器翻译, 机器写作等；2.负责nlp算法在教育产品方向上的创新尝试；3.负责与产品、开发一同将各种算法进行产品化；            4.负责以上算法与产品应用的相关专利申请。任职需求：1.计算机、信号处理、自动化等相关专业，本科以上学历，具备一定的模式识别、语音相关方面的理论知识；2.语音相关领域英文文献阅读无障碍，具备中英文学术论文的调研能力，有从事研究型项目的经历；3. 了解自然语言处理基础理论和方法，了解中文分词、语义分析、文本聚类、情感分析、实体识别等基础算法和应用；4.熟悉linux系统，具备较好的c、c++、java或python编程能力，有一定的代码开发经历；5.对数据敏感，善于思考，具备不断发现并解决问题的能力；6.工作踏实上进，有良好的团队合作意识。                            满足以下条件的优先考虑：  1. 熟悉rnn、cnn等深度学习算法及其常用工具如tensorflow、caffe、cntk等；  2. 有在线教育nlp方向研究与应用开发经验者。"
