"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"1",4,2,1,8,4,34,1,1,3,10,1,2,3,2,1,2,1,2,5,2,2,3,2,6,2,2,6,2,1,2,2,110,6,3,4,3,2,3,6,2,2,1,3,3,2,2,1,2,36,2,8,3,2,4,2,4,8,3,1,7,5,2,1,2,1,2,1,3,3,4,4,2,3,3,7,3,1,10,4,1,3,52,1,2,1,5,1,2,20,3,3,2,1,1,25,1,5,1,2,2,4,1,1,4,2,4,2,12,4,1,1,8,6,1,1,4,2,2,3,10,3,5,3,1,4,3,1,8,19,1,1,3,1,7,341,4,12,1,1,1,5,14,4,2,202,3,4,21,4,1,3,1,22,7,2,2,3,78,1,5,3,30,2,3,5,2,83,21,1,3,1,3,1,10,3,1,1,1,29,2,12,1,5,18,5,4,1,1,306,4,1,2,1,1,6,1,3,2,14,8
"2",3,21,2,1,17,30,2,7,7,5,8,1,1,8,2,1,2,5,3,5,4,2,3,23,5,4,7,5,2,1,17,1,49,6,7,2,108,1,1,9,3,2,1,2,1,4,25,5,9,20,7,1,6,1,3,3,20,4,29,1,1,3,2,1,2,11,3,1,4,3,1,10,1,4,9,1,2,13,3,3,2,1,4,1,5,1,2,10,1,14,8,7,3,5,16,3,13,4,208,45,3,5,3,28,15,6,3,1,1,2,5,2,5,4,7,2,15,1,10,9,4,1,2,7,5,4,2,4,2,4,3,1,341,1,5,2,3,3,2,2,459,2,1,8,2,2,2,1,3,9,1,23,3,3,29,3,4,2,5,2,4,1,7,6,3,4,1,3,2,8,2,4,4,202,1,4,5,41,47,1,1,374,3,1,3,2,4,3,1,1,2,20,16,3,1,3,2,1,3,3
"3",1,4,7,2,29,403,5,355,2,12,23,8,5,9,80,49,32,15,83,4,3,7,18,19,4,3,4,15,157,285,821,3,13,2,3,17,13,24,590,78,5,20,8,4,97,13,4,459,3,3,134,60,29,5,4,1,23,8,551,21,192,4,8,4,4,8,7,10,51,5,11,58,14,511,2,5,37,16,6,15,15,2,2,221,2,52,6,221,12,5,5,3,76,19,203,4,1,3,12,32,2,28,67,5,14,3,5,2,16,31,2,161,4,19,42,6,646,246,378,21,2,3,4,6,2,8,7,2,17,5,6,2,30,2,261,20,14,15,24,20,3,1,18,458,230,1,3,19,48,14,6,4,2,21,20,1,23,42,16,4,2,2,47,4,1,75,2,1,7,493,5,14,2,353,59,6,9,4,2,4,238,54,2,5,63,1,7,9,2,8,4,60,10,5,129,18,5,9,170,9
"4",8,6,5,17,10,45,10,2,1,1,70,3,56,246,4,4,16,37,2,3,1,158,10,4,3,5,1,4,5,15,5,10,1,4,8,4,137,22,4,1,7,3,4,1,3,3,3,4,1,9,3,2,134,2,17,5,6,2,6,357,3,7,10,5,45,1,10,2,2,1,32,5,111,9,1,2,3,12,8,4,22,38,115,6,3,4,3,4,539,18,1,14,4,2,1,411,8,53,1,4,5,6,11,2,6,1,33,5,19,133,4,1,1,2,71,11,1,5,1,1,23,4,9,2,1,2,4,3,4,2,11,4,18,4,19,7,2,6,13,5,2,3,2,143,43,26,59,5,1,2,30,24,1,6,3,16,1,1,3,3,1,3,3,1,2,18,149,28,4,4,479,2,31,2,4,2,2,2,3,3,2,2,51,3,2,16,3,44,5,3,44,4,3,4,4,4,142,4,2,2
"5",2,3,4,68,69,1,4,8,20,3,6,27,2,1,3,3,3,6,1,1,7,1,1,1,1,1,2,1,3,4,1,6,2,1,1,1,1,2,2,3,1,4,2,5,4,1,11,1,2,1,1,4,1,3,1,2,2,1,3,3,2,1,3,7,7,3,2,4,1,2,2,1,2,1,4,41,4,22,1,2,1,4,27,8,4,2,4,1,94,8,2,1,2,3,2,2,2,2,8,1,1,300,2,1,1,2,4,3,2,4,6,3,2,3,2,1,12,3,2,2,1,2,1,47,3,1,3,1,1,3,2,46,4,3,1,1,1,2,3,3,1,4,3,1,1,27,1,83,2,3,2,9,7,8,1,4,2,3,2,1,8,8,1,2,4,1,6,2,3,1,3,1,17,1,2,3,18,3,1,6,3,3,1,12,1,3,2,2,86,2,20,1,2,2,8,36,1,3,1,5
"6",10,2,1,26,18,22,1,2,6,12,1,2,3,29,1,2,5,1,15,3,2,2,3,11,3,3,8,2,2,7,3,166,15,2,6,3,2,2,4,1,4,1,19,2,2,3,1,2,43,1,3,2,34,3,4,6,6,6,1,17,23,2,1,5,1,4,1,5,4,4,19,2,4,5,26,4,1,9,5,2,5,56,1,5,4,7,1,3,38,2,8,2,1,1,79,1,3,1,5,3,16,1,1,2,13,5,3,32,3,1,3,9,25,1,1,9,2,2,6,7,8,10,2,1,6,3,2,22,10,1,1,3,1,8,517,5,44,2,1,1,24,11,5,3,374,1,4,96,24,1,1,4,26,8,5,2,6,63,1,1,3,87,3,2,4,1,243,52,1,2,1,16,1,3,4,1,7,1,65,3,24,1,7,84,7,4,1,1,496,13,1,3,1,2,18,2,4,2,37,26
"7",6,38,2,1,9,96,4,41,25,9,4,3,1,20,2,1,6,4,3,4,3,3,2,7,6,6,5,7,3,1,18,1,37,49,14,2,204,1,1,88,2,3,1,3,1,2,126,19,20,76,4,1,4,1,1,2,21,4,11,2,1,3,2,3,2,7,3,2,8,3,1,66,1,3,12,1,2,10,2,8,2,1,37,1,7,1,3,27,1,15,21,20,2,4,33,2,7,5,382,80,32,8,13,52,10,25,4,1,1,4,5,7,5,6,7,1,37,5,12,21,5,1,7,15,5,4,6,6,4,12,6,1,351,1,25,2,2,4,2,2,368,3,1,7,2,4,2,1,2,14,2,37,2,1,64,3,5,2,4,5,4,1,24,13,3,6,1,5,6,35,4,59,5,289,1,26,8,77,69,1,1,309,9,6,3,3,13,2,1,1,4,19,83,1,3,11,2,1,3,5
"8",1,3,13,2,97,519,6,301,1,13,34,1,4,3,155,93,155,27,168,14,8,12,180,43,7,1,6,59,229,532,865,11,17,8,3,15,57,148,597,212,30,39,22,4,96,7,17,428,4,3,350,115,32,5,3,1,13,30,690,10,322,9,15,14,8,8,30,8,30,8,8,96,67,673,5,6,106,25,10,54,28,2,5,302,1,62,9,262,55,8,44,3,312,23,130,4,1,3,39,129,3,75,90,12,121,3,29,2,39,109,2,79,8,77,85,10,663,170,467,44,2,5,5,11,2,15,12,2,162,9,46,2,30,2,545,9,9,62,12,49,2,1,40,616,281,2,3,100,57,11,17,54,1,32,41,1,86,30,23,7,2,4,63,3,1,97,7,1,8,468,5,12,2,372,209,13,30,10,2,8,175,117,3,21,70,2,7,13,4,29,8,104,21,8,210,32,18,13,117,112
"9",16,17,9,42,26,88,25,1,5,1,55,7,168,274,4,3,119,121,2,2,1,411,45,3,5,7,2,6,9,37,11,24,1,10,30,10,287,12,7,2,20,6,6,1,3,5,7,10,1,20,17,3,243,2,45,4,15,2,19,669,4,7,14,20,168,1,48,3,2,1,85,5,281,4,3,2,3,13,19,3,51,134,111,2,2,6,2,11,734,73,1,11,5,2,1,345,9,132,1,2,23,5,111,9,40,1,44,4,16,138,6,2,1,2,36,15,1,22,2,1,13,3,6,5,1,2,1,4,18,2,39,4,27,6,169,15,3,15,113,7,4,2,2,266,29,86,15,10,1,2,82,200,4,2,3,15,1,1,5,9,1,12,5,1,2,31,151,57,3,7,543,10,61,2,2,3,15,2,4,6,2,5,126,11,2,6,5,180,14,3,42,21,25,5,6,10,373,7,4,3
"10",3,7,7,141,152,1,3,6,82,3,63,100,2,1,3,4,3,9,1,1,5,1,1,1,1,2,1,1,4,10,1,23,2,1,1,1,1,3,5,3,1,8,4,5,4,1,6,1,2,2,1,4,1,4,2,3,24,1,5,7,2,1,4,12,26,6,2,4,1,2,6,3,2,2,7,39,4,36,1,11,1,25,56,21,6,2,4,1,74,9,2,1,3,3,2,3,2,2,21,1,1,86,6,1,1,2,14,3,4,15,14,1,2,4,9,2,121,18,13,2,1,2,1,109,4,1,13,1,2,3,2,198,5,4,1,1,1,1,7,3,1,7,6,1,1,163,1,324,3,3,9,16,8,6,1,7,2,12,3,2,27,2,1,5,8,4,27,4,5,1,7,1,79,1,3,5,44,14,1,2,3,8,1,25,1,1,2,3,155,4,132,1,2,3,19,58,1,3,1,39
